interest_expense,date,total_assets,state,bank_id,gross_loans,interest_income,net_loans,charge_offs,total_deposits,id,net_interest_margin,charge_off_rate
787.0,2010-03-31,198567,ILLINOIS,1049,84356,2268.0,83121,53.78085471191485,154555,1049_20100331,0.0075,0.0006
300.0,2010-03-31,78029,IOWA,10500,64365,1094.0,63566,102.9225563057593,61761,10500_20100331,0.0102,0.0016
244.0,2010-03-31,94291,KANSAS,10502,47530,1124.0,46995,65.06659651648991,72226,10502_20100331,0.0093,0.0014
107.0,2010-03-31,50942,KANSAS,10503,21140,579.0,20490,47.807928323106,42859,10503_20100331,0.0093,0.0023
239.0,2010-03-31,110022,KANSAS,10505,28231,909.0,27471,31.291362440341263,87791,10505_20100331,0.0061,0.0011
205.0,2010-03-31,32591,KANSAS,10506,26374,414.0,24426,85.7263187449549,28493,10506_20100331,0.0064,0.0033
261.0,2010-03-31,75563,KANSAS,10508,52288,870.0,51545,80.51893276680829,64016,10508_20100331,0.0081,0.0015
185.0,2010-03-31,47078,KENTUCKY,10514,31685,588.0,31012,82.85996740321158,37427,10514_20100331,0.0086,0.0026
29.0,2010-03-31,22961,KENTUCKY,1051,9826,291.0,9707,52.14331757627847,18616,1051_20100331,0.0114,0.0053
321.0,2010-03-31,110848,KENTUCKY,10520,69242,1365.0,68576,72.47516381314732,94620,10520_20100331,0.0094,0.001
666.0,2010-03-31,296186,LOUISIANA,10523,83785,2597.0,83329,33.4954597892892,248777,10523_20100331,0.0065,0.0004
149.0,2010-03-31,65017,LOUISIANA,10526,39763,819.0,39341,72.81459956689926,54029,10526_20100331,0.0103,0.0018
132.0,2010-03-31,111073,LOUISIANA,10528,40706,1165.0,39718,46.31728706036011,85752,10528_20100331,0.0093,0.0011
198.0,2010-03-31,66364,LOUISIANA,10531,44782,1029.0,44199,79.06373539881581,55903,10531_20100331,0.0125,0.0018
200.0,2010-03-31,94067,LOUISIANA,10532,41927,1003.0,41603,50.31565961975715,82684,10532_20100331,0.0085,0.0012
275.0,2010-03-31,112415,LOUISIANA,10533,49570,1560.0,48896,49.60233728290862,98576,10533_20100331,0.0114,0.001
335.0,2010-03-31,220489,LOUISIANA,10534,134549,2635.0,133202,67.31283321120853,197885,10534_20100331,0.0104,0.0005
90.0,2010-03-31,32548,MINNESOTA,10559,18414,390.0,18169,62.927302323970494,28873,10559_20100331,0.0092,0.0034
405.0,2010-03-31,81545,MINNESOTA,10561,68305,1162.0,67420,93.85266440224956,71836,10561_20100331,0.0093,0.0014
172.0,2010-03-31,58672,MINNESOTA,10566,37893,748.0,37220,75.02217205514795,49612,10566_20100331,0.0098,0.002
91.0,2010-03-31,25447,MINNESOTA,10567,18650,321.0,18353,78.82913839017267,23282,10567_20100331,0.009,0.0042
213.0,2010-03-31,55879,MINNESOTA,10568,26127,492.0,26012,55.5918873287598,46791,10568_20100331,0.005,0.0021
112.0,2010-03-31,39416,MISSOURI,1056,19950,348.0,19382,56.1520410232639,34517,1056_20100331,0.006,0.0028
119.0,2010-03-31,29225,MINNESOTA,10571,21668,386.0,21274,81.96809740309779,25954,10571_20100331,0.0091,0.0038
187.0,2010-03-31,52722,MINNESOTA,10576,45090,751.0,44596,99.24557694447536,44935,10576_20100331,0.0107,0.0022
910.0,2010-03-31,262068,MISSOURI,1057,194337,3467.0,189479,86.10059663647888,220067,1057_20100331,0.0098,0.0004
991.0,2010-03-31,300911,MINNESOTA,10581,226563,3771.0,222660,87.50294741806178,254460,10581_20100331,0.0092,0.0004
10.0,2010-03-31,16309,MINNESOTA,10582,5940,141.0,5851,39.91676899986356,14658,10582_20100331,0.008,0.0067
361.0,2010-03-31,112721,MISSISSIPPI,10588,67433,1137.0,65987,70.48763552849437,93615,10588_20100331,0.0069,0.001
3567.0,2010-03-31,1091671,MISSOURI,1058,649552,10977.0,635271,79.85426214712558,795538,1058_20100331,0.0068,0.0001
280.0,2010-03-31,94708,MISSISSIPPI,10594,58856,1277.0,57102,66.03448475246608,86473,10594_20100331,0.0105,0.0011
573.0,2010-03-31,119155,MISSOURI,10595,90745,1638.0,89487,88.69055878213642,100898,10595_20100331,0.0089,0.001
78.0,2010-03-31,33983,MISSOURI,10597,21840,385.0,21424,72.52538930264049,29540,10597_20100331,0.009,0.0033
395.0,2010-03-31,99567,ARKANSAS,105,58500,1254.0,57681,71.86857548686129,80259,105_20100331,0.0086,0.0012
443.0,2010-03-31,156778,MISSOURI,10606,79618,1852.0,77919,58.36060907926569,133513,10606_20100331,0.009,0.0007
838.0,2010-03-31,219735,MISSOURI,10608,108908,2763.0,108086,57.106476956321885,189271,10608_20100331,0.0088,0.0005
1627.0,2010-03-31,484189,MISSOURI,1060,405832,6447.0,399159,91.75457268366017,435029,1060_20100331,0.01,0.0002
56.0,2010-03-31,19281,MISSOURI,10611,12826,288.0,12677,73.59651669085632,17225,10611_20100331,0.012,0.0057
121.0,2010-03-31,41704,MISSOURI,10613,29197,498.0,28915,79.72592919377965,36268,10613_20100331,0.009,0.0027
1054.0,2010-03-31,291451,MISSOURI,10618,190517,3711.0,189195,76.32954903052456,247866,10618_20100331,0.0091,0.0004
4084.0,2010-03-31,1241450,MISSOURI,10619,960576,14857.0,946386,94.34415190191413,1003121,10619_20100331,0.0087,0.0001
198.0,2010-03-31,74914,MISSOURI,10620,47650,869.0,47049,70.5223712808214,66715,10620_20100331,0.009,0.0015
1109.0,2010-03-31,226142,MISSOURI,10621,168551,2816.0,163719,105.69607995041834,154896,10621_20100331,0.0075,0.0006
219.0,2010-03-31,69172,MISSOURI,10623,45144,847.0,43879,70.40691890504156,62322,10623_20100331,0.0091,0.0016
97.0,2010-03-31,30202,MISSOURI,10626,17862,343.0,17538,65.14616841870658,26921,10626_20100331,0.0081,0.0036
106.0,2010-03-31,46542,MISSOURI,10628,20601,493.0,20261,49.38214433693241,41029,10628_20100331,0.0083,0.0024
250.0,2010-03-31,86532,MISSOURI,10629,70702,1212.0,69472,89.14552617058679,77931,10629_20100331,0.0111,0.0013
7446.0,2010-03-31,2588448,NEBRASKA,10634,1906184,32159.0,1867754,83.82874959774405,2228059,10634_20100331,0.0095,0.0
22.0,2010-03-31,9795,NEBRASKA,10635,6160,127.0,6059,68.01751234845082,8908,10635_20100331,0.0107,0.011
314.0,2010-03-31,75369,NEBRASKA,10637,53955,998.0,53425,83.31384015594541,64125,10637_20100331,0.0091,0.0015
320.0,2010-03-31,101051,NEBRASKA,10639,76147,1376.0,74941,90.17519793998027,83106,10639_20100331,0.0105,0.0012
67.0,2010-03-31,17182,NEBRASKA,10641,13166,163.0,13139,85.75251272679807,15322,10641_20100331,0.0056,0.0065
411.0,2010-03-31,76545,NEBRASKA,10643,67687,1501.0,67000,108.35988420048194,61831,10643_20100331,0.0142,0.0016
53.0,2010-03-31,24164,NEBRASKA,10644,13650,232.0,13458,62.3199814771938,21595,10644_20100331,0.0074,0.0046
104.0,2010-03-31,37671,NEBRASKA,10647,22907,441.0,22423,69.7189229525527,32162,10647_20100331,0.0089,0.003
349.0,2010-03-31,84432,NEBRASKA,10650,66779,1216.0,65663,119.50025478634345,54948,10650_20100331,0.0103,0.0018
30.0,2010-03-31,15016,NEBRASKA,10652,10350,184.0,10228,94.51991498013122,10821,10652_20100331,0.0103,0.0091
128.0,2010-03-31,41836,NEBRASKA,10653,28217,514.0,27958,86.14654588032292,32454,10653_20100331,0.0092,0.0031
742.0,2010-03-31,282984,OHIO,10663,158396,3286.0,156972,62.2632977668478,252110,10663_20100331,0.009,0.0004
1346.0,2010-03-31,634643,OKLAHOMA,10667,550378,8491.0,543423,96.87634260043319,560945,10667_20100331,0.0113,0.0002
281.0,2010-03-31,93108,OKLAHOMA,10672,62257,1261.0,60909,74.78727453556475,81443,10672_20100331,0.0105,0.0012
364.0,2010-03-31,97390,OKLAHOMA,10674,91277,1230.0,90376,120.85907619888204,74778,10674_20100331,0.0089,0.0013
